BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
56:AF:97:59:06:91,ganesh_5g,140,1599725,11508.812949640287,46649.09123904266,53.0,321829.0,100,4.053336468245178,117,15.179856115107913,617.3893523093079,2188.0,4,84,5,-83.88571428571429,7.07827328686421,30,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
54:AF:97:6C:D4:DA,Vishaka,204,1359327,6696.1921182266005,37138.05682744257,43.0,314823.0,100,5.546145655052077,125,-10.45320197044335,404.15029006239547,1364.0,6,118,5,-83.41666666666667,7.459441510722391,33,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
DE:62:79:27:A6:EA,Tapo_Cam_A6EA,254,1433761,5667.0395256917,32989.95502660108,42.0,425632.0,100,5.821373729831725,196,-8.980237154150197,471.6281529841546,2373.0,3,104,3,-83.23622047244095,7.990069620233607,35,Open,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
E0:D3:62:1B:7F:C6,Deco_Nest,102,1460036,14455.801980198019,53853.254392287155,53.0,334617.0,100,3.725372999874483,89,-24.475247524752476,874.3001383284735,3269.0,4,65,5,-84.37254901960785,5.675937692196075,26,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
8C:90:2D:3C:03:B3,JioFiber-3TFFK_EXT,215,1609631,7521.640186915888,34441.258911716875,43.0,327929.0,100,4.578955926002615,160,-4.4953271028037385,617.9528580076684,3618.0,6,85,3,-84.14418604651163,8.011245085234394,33,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
E6:D3:62:1B:7F:E2,,172,1469871,8595.736842105263,42027.963345229895,22.0,334929.0,100,4.889396233545818,143,10.251461988304094,429.6578405246675,3066.0,3,111,5,-80.75581395348837,7.776762576786731,34,WEP,0,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
E6:D3:62:1B:7F:C6,,85,1397788,16640.333333333332,59567.605178543374,85.0,348057.0,100,3.579712255862082,76,-37.892857142857146,564.9824182754832,1886.0,4,52,5,-84.58823529411765,5.625820824020046,25,WEP,0,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
98:DA:C4:CB:3C:02,TP-Link_3C02,115,1440518,12636.122807017544,52426.67528851886,43.0,455134.0,100,4.1489526562098975,85,-4.87719298245614,588.2228092147961,2497.0,3,68,4,-84.44347826086957,8.129641782690928,32,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
BC:07:1D:D4:35:49,Villa7,240,1433726,5998.8535564853555,30246.80821357381,4.0,325160.0,100,5.042098114869284,170,-9.97071129707113,556.4176262204674,3175.0,17,129,4,-80.15,8.05955863280667,38,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
30:BD:13:27:87:96,Airtel__dontuse,398,1655314,4169.556675062972,21661.20118699729,9.0,259932.0,100,5.195084962234038,327,-1.5869017632241813,513.1234081088244,2687.0,15,224,5,-84.9321608040201,6.8945216710308275,34,WPA2,1,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
42:6A:D2:16:D6:7E,,186,1417498,7662.151351351351,40381.873509130346,21.0,331446.0,100,5.270304859840443,100,12.556756756756757,438.6660464336989,2954.0,3,107,5,-82.88709677419355,7.553996269116591,32,WEP,0,10,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Seq_Resets; 
