BSSID,SSID,BeaconCount,CaptureTimeSpan_ms,MeanInterBeaconTime_ms,StdInterBeaconTime_ms,MinInterBeaconTime_ms,MaxInterBeaconTime_ms,ExpectedBeaconInterval_TU,TimingJitter,MissedBeacons,MeanSeqGap,StdSeqGap,MaxSeqGap,SeqNumberResets,ChannelChanges,UniqueChannels,MeanRSSI,StdRSSI,RSSIRange,Encryption,HasHT,SuspicionScore,SuspicionReasons
50:2B:73:95:57:01,Vishal GF,25,351262,14635.916666666666,57189.52926809065,63.0,282493.0,100,3.9074784700320446,19,-12.666666666666666,223.19783906283416,139.0,1,14,3,-88.44,4.31161222746202,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
9C:A2:F4:AD:DA:48,Arvin_2.4 First Floor ,11,1244844,124484.4,195647.55152978533,43.0,562043.0,100,1.571663208628661,7,-13.2,1937.4733145115688,3395.0,2,3,2,-93.0909090909091,2.165850662190053,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
50:2B:73:B5:8D:21,Sweet Home,30,829512,28603.862068965518,83281.77405725188,56.0,367521.0,100,2.911556972745264,23,18.93103448275862,260.9269097213792,483.0,2,9,3,-92.0,3.227040920634301,12,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
54:AF:97:24:44:1D,242631,20,972209,51168.89473684211,163812.5590463736,95.0,688959.0,100,3.2014089787486757,18,-147.05263157894737,1155.5293387151962,2350.0,2,7,3,-90.5,5.424117682312852,19,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
98:DA:C4:E5:09:70,SKYSUN-R1,20,1395160,73429.47368421052,124549.16273699066,52.0,357683.0,100,1.696173981457751,14,23.05263157894737,847.5909307943969,2682.0,2,7,4,-90.85,3.013565819319104,11,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
92:90:2D:C7:CF:92,,87,1356067,15768.220930232557,70408.52517556147,22.0,481049.0,100,4.465216810610595,65,20.03488372093023,188.99445666781548,857.0,2,48,5,-86.77011494252874,5.301823182302672,25,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
8C:A3:99:49:02:21,ilan_4g,57,1485891,26533.76785714286,109853.51986730348,96.0,672794.0,100,4.140140233931794,46,-36.232142857142854,653.6648012571867,1958.0,2,19,2,-87.7719298245614,5.003632765514504,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
92:90:2D:C7:E4:56,,35,894117,26297.558823529413,99129.68092358406,21.0,507087.0,100,3.769539278722688,27,30.91176470588235,256.39332564081127,1111.0,1,23,3,-88.77142857142857,4.49892610902355,19,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E0:D3:62:19:9C:0E,MGWiFi,34,1309536,39682.90909090909,121918.77758070218,54.0,555420.0,100,3.072324594407321,30,41.515151515151516,385.5724738304818,1648.0,2,24,5,-85.55882352941177,5.2234388792719875,22,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E0:D3:62:19:9F:8A,MGWiFi,32,1248407,40271.1935483871,124407.23026936427,74.0,548953.0,100,3.089236233259286,29,-99.48387096774194,461.3188970020444,88.0,3,20,4,-83.75,7.043642752568195,25,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Resets; 
56:22:54:0C:D7:86,Rankedsuite,7,1391555,231925.83333333334,287567.8116628609,413.0,688572.0,100,1.2399128097486092,6,-504.6666666666667,934.6258431408081,281.0,2,3,2,-92.14285714285714,1.864454471471609,5,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
98:25:4A:D8:EF:51,Sweet Home ,78,1284280,16678.96103896104,75787.45777353122,96.0,497523.0,100,4.543895605484804,68,3.2857142857142856,188.95020627437225,762.0,2,33,3,-87.41025641025641,4.795657931747739,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
8C:90:2D:C7:E4:56,Gokila hall,21,861550,43077.5,128734.66299596317,81.0,514001.0,100,2.988443224258017,19,39.05,349.2238725486772,1205.0,1,8,3,-87.19047619047619,5.211708430246724,21,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
8C:90:2D:C7:CF:92,Gokila hall,72,1356057,19099.394366197183,79089.34839109478,53.0,510532.0,100,4.14093488361752,60,27.52112676056338,233.84071863159517,1230.0,2,43,5,-87.43055555555556,4.534147089349443,21,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:17:C0:D2,Abhaya,50,1219538,24888.530612244896,97521.23771861655,53.0,552826.0,100,3.918320419716494,32,-15.306122448979592,512.8504981994278,1981.0,2,27,4,-87.88,3.7396933193042687,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:09:C0:52,tobi4G,17,1059974,66248.375,159913.58008452566,52.0,569161.0,100,2.4138490956512038,11,137.875,563.782685674779,1471.0,1,8,3,-91.82352941176471,1.9759584420492964,6,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:2B:9E:DA,Astrid-Jio,11,972288,97228.8,206736.22036294357,102.0,565012.0,100,2.1262858367152253,9,141.1,482.4434221290157,1505.0,1,7,3,-89.0909090909091,4.437443981720681,12,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
C0:68:CC:64:05:B2,Visakha,35,1313685,38637.794117647056,121077.01572785145,53.0,558955.0,100,3.13364203339492,30,23.941176470588236,399.9648424834568,1477.0,2,17,2,-91.4,3.457302586767694,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
52:22:54:0C:D7:86,No Internet_Guest,9,1394581,174322.625,264991.360709815,107.0,688566.0,100,1.5201202982590176,7,-374.625,836.5433875691771,281.0,2,5,2,-92.0,2.0,5,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A0:A3:F0:39:AD:32,Abhaya_5G_Ext,15,1219209,87086.35714285714,177354.5463213803,61.0,565316.0,100,2.036536515454539,10,-25.357142857142858,569.4898671541126,1431.0,2,10,3,-88.26666666666667,5.161210636865661,16,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A2:09:0D:AB:A8:19,,7,1277740,212956.66666666666,510442.76895795745,166.0,1254856.0,100,2.3969325635366845,6,279.6666666666667,458.486931838484,1196.0,0,5,2,-88.28571428571429,5.498917642417937,13,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:19:EA:BA,Shravan-4g,36,1362510,38928.857142857145,150676.2766490861,53.0,812405.0,100,3.870554845529606,27,33.857142857142854,151.18981891826516,835.0,2,22,4,-87.86111111111111,5.054857792419813,21,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:22:29:8A,Nideesh-4g,22,1346359,64112.333333333336,147052.02666686827,106.0,507380.0,100,2.293662061869135,19,49.142857142857146,1127.9744804610734,3002.0,2,10,3,-91.72727272727273,3.073416250020073,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:2B:F9:AA,GJ-4G,22,1140942,54330.57142857143,178934.84667542303,53.0,818745.0,100,3.2934468010772866,17,71.28571428571429,588.5493303757249,1524.0,2,17,3,-90.86363636363636,3.1817254160874135,14,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:55:5E:2C:0B:2A,Lalithjio4G,8,1329979,189997.0,309677.6533720184,797.0,747282.0,100,1.6299081215513325,7,118.57142857142857,2181.5093289694987,3305.0,1,3,2,-91.5,3.070597894314954,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
C8:9E:43:D6:A8:6A,KY_2GEXT,9,1411337,176417.125,291472.777164738,105.0,842034.0,100,1.6521796121724905,7,186.875,1900.100406181586,2965.0,1,5,3,-93.33333333333333,1.8708286933869707,6,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
9A:BA:5F:51:E1:6C,,14,1385157,106550.53846153847,165451.01176915146,122.0,451440.0,100,1.5527937648792034,12,77.38461538461539,651.9883100257676,1939.0,2,10,3,-91.5,3.082207001484488,11,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3E:52:A1:20:3E:1D,MSSM_5G,19,1245375,69187.5,162630.5686978023,96.0,565701.0,100,2.350577325318182,12,-13.38888888888889,711.1810507375071,2124.0,2,8,3,-90.84210526315789,2.1670040223194187,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
40:48:6E:8F:10:0A,Airtel_sara_2121,61,1337052,22284.2,89718.57873822332,53.0,510227.0,100,4.026107229974476,41,12.55,261.4594258311071,881.0,1,25,4,-88.50819672131148,4.149790961882586,16,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:22:54:0C:D5:22,No Internet,13,1488822,124068.5,240068.97223184537,63.0,688945.0,100,1.9349711830957126,8,-172.91666666666666,806.2086869847639,1143.0,2,3,2,-92.38461538461539,2.0223114472661203,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
48:22:54:0C:D7:86,No Internet,11,1395020,139502.0,245063.1324096802,197.0,688544.0,100,1.756699777837762,10,-299.4,1581.3815478877955,2151.0,2,7,2,-91.9090909090909,1.5135749373285392,5,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A0:91:CA:6F:80:3A,Airtel_ragh_4432,31,1206183,40206.1,123424.247155995,53.0,565650.0,100,3.069789090534153,26,-17.3,436.7701320784906,1421.0,2,5,2,-89.38709677419355,5.463072513734609,19,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
52:22:54:0C:D5:22,No Internet_Guest,9,1488822,186102.75,395634.80191594805,154.0,1143879.0,100,2.12589444225742,8,-260.0,886.9069849764404,856.0,2,3,2,-93.22222222222223,1.7159383568311668,6,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A8:6E:84:C9:9E:A2,Vishal SF,18,373292,21958.352941176472,67098.81724734532,149.0,279057.0,100,3.055730884007487,16,-20.176470588235293,339.8466998688743,356.0,1,5,3,-90.38888888888889,3.6964034807918975,16,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3C:6A:D2:4F:75:40,TP-Link_7540,16,800464,53364.26666666667,112399.1982276098,99.0,374071.0,100,2.1062633339944745,14,-9.733333333333333,420.2041114007516,483.0,2,9,3,-91.4375,2.5289984842489197,9,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A8:40:41:21:1A:0C,dragino-211a0c,18,1332898,78405.76470588235,154256.9831152424,260.0,480870.0,100,1.9674188969641149,17,46.23529411764706,369.89923111094805,630.0,2,4,2,-93.0,1.7489492643904123,6,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A8:42:A1:87:E3:78,MSSM_EXT,22,1251861,59612.42857142857,150655.76504686815,95.0,559164.0,100,2.527254276577958,11,19.571428571428573,429.89924068653244,1571.0,2,10,2,-89.5909090909091,3.554461862813995,12,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
B4:A7:C6:C1:67:5F,pradyumna4g,9,643781,80472.625,138842.31338046514,107.0,325008.0,100,1.7253359559072394,7,314.375,1087.2452657322278,2895.0,1,3,2,-91.33333333333333,1.7320508075688772,5,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
B6:A7:C6:57:7D:F3,,53,1287618,24761.884615384617,91852.18239781419,22.0,513560.0,100,3.709418076241127,43,15.5,531.6303632574562,1929.0,2,29,4,-89.0754716981132,4.685694499889956,20,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
16:32:51:70:E7:A4,AirFiber-Jio,33,1144114,35753.5625,114616.89574177029,106.0,562073.0,100,3.205747559800916,29,83.6875,381.64630116581554,1369.0,1,19,4,-90.45454545454545,2.751032863886184,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A8:6E:84:0C:CF:26,ACT103722870556_5g_EXT,28,1323599,49022.18518518518,119386.7138961699,49.0,454562.0,100,2.435360917567052,22,7.518518518518518,908.7626147836904,1527.0,2,12,3,-91.82142857142857,3.197841533939803,12,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
4A:55:5E:2B:F9:AA,Jio_2,22,1014247,48297.47619047619,178414.7534316092,129.0,818856.0,100,3.694080260514665,17,148.33333333333334,454.9728929654308,1524.0,1,14,4,-89.45454545454545,4.458563432181702,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
A8:DA:0C:84:3D:13,Jyothi_4G,38,1356265,36655.81081081081,103335.62485304265,102.0,457848.0,100,2.819078955409357,34,27.486486486486488,709.7581599711593,2292.0,2,15,3,-90.1842105263158,3.517179944968925,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3C:52:A1:70:3E:1D,MSSM,23,1245204,56600.181818181816,147582.55661142807,96.0,558795.0,100,2.6074572884395275,13,-11.136363636363637,653.1340047329707,2120.0,2,13,3,-91.26086956521739,1.8639496507135744,8,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3C:52:A1:9B:59:4F,COFE_3312,32,1411492,45532.0,132983.47403969662,48.0,504213.0,100,2.9206596248083976,22,-27.93548387096774,545.3895204642808,1157.0,2,17,3,-85.75,5.929695634902406,22,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3C:6A:D2:16:D4:4A,KeethuSri ACT,14,582233,44787.153846153844,103103.49092687256,113.0,324816.0,100,2.3020773161593664,10,143.53846153846155,635.9628678081523,2144.0,1,7,3,-91.71428571428571,1.5898026693500447,5,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
3C:52:A1:27:F9:F3,Deadpool_1st,74,1434182,19646.328767123287,75850.96797211673,43.0,494155.0,100,3.860821472925111,52,23.534246575342465,329.9500417652387,1736.0,2,39,4,-90.33783783783784,3.29498176778803,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
B4:A7:C6:67:7D:F3,JioFiber-p7Eth,57,1287622,22993.25,89684.06378256142,53.0,516515.0,100,3.900451818627683,46,14.392857142857142,505.30511677496503,1987.0,2,34,4,-88.84210526315789,4.522915753946035,22,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
36:68:93:B4:3B:E6,,103,1421004,13931.411764705883,54522.33719581468,22.0,442152.0,100,3.9136261358686584,77,23.107843137254903,268.5528473486443,1041.0,2,58,5,-86.55339805825243,4.702373525292173,22,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
B0:A7:B9:AF:A2:91,ICF_65,85,1486133,17692.059523809523,72868.24855933378,53.0,432752.0,100,4.118697908355489,45,31.357142857142858,277.59334228922825,2049.0,2,42,4,-88.28235294117647,4.866336660466186,19,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
B0:95:75:1F:43:FE,Vishaka_EXT,46,1238777,27528.37777777778,101686.01750247246,53.0,549318.0,100,3.693861596917796,37,21.244444444444444,302.27757830086296,1658.0,2,27,3,-90.15217391304348,4.054996321710061,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
AC:15:A2:92:A2:48,ESPP_2.4,54,1339871,25280.584905660377,95891.15342135701,42.0,510065.0,100,3.7930749535820154,32,15.037735849056604,248.6368190340892,885.0,1,28,3,-89.27777777777777,3.877446478672343,17,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
FE:7A:58:15:49:0A,,21,1231966,61598.3,127103.9544186279,133.0,392967.0,100,2.063432828772295,17,-35.0,483.3814011185871,1152.0,2,15,3,-89.42857142857143,3.8153823998575627,15,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
FC:7A:58:3D:72:AA,No_Internet4,18,894505,52617.94117647059,135369.86031908588,159.0,484662.0,100,2.572693976423524,17,50.23529411764706,337.66931482808826,906.0,1,6,3,-91.77777777777777,3.4904163843226086,13,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
EA:D3:62:19:9F:8A,,37,1501920,41720.0,106146.46163377953,90.0,441718.0,100,2.544258428361344,35,90.69444444444444,840.5181673720917,3061.0,2,28,5,-85.51351351351352,7.9078780045303265,27,WEP,0,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
EC:75:0C:8D:25:50,Priyanka_EXT,49,1310352,27299.0,101955.99911455337,43.0,555857.0,100,3.7347887875313592,35,20.375,329.66815197336234,1536.0,2,33,5,-87.0204081632653,5.234062300285057,19,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
EE:D3:62:19:9C:0E,MGWiFi_Guest,41,1336498,33412.45,110792.73454795138,53.0,549642.0,100,3.315911719871948,38,40.55,573.7753044528843,2674.0,2,29,5,-86.92682926829268,4.649678719559229,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
F0:ED:B8:40:F1:96,sbkmedicals4G,31,971998,32399.933333333334,131101.1225210191,86.0,685813.0,100,4.046339267682837,28,49.233333333333334,593.5915049195395,2733.0,1,14,4,-87.09677419354838,5.758210594213434,20,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
00:5F:67:F7:5E:DF,Reddington,53,1150844,22131.615384615383,72023.19217763827,52.0,328098.0,100,3.254312481159884,35,54.13461538461539,590.3233420677564,2541.0,2,13,3,-89.9245283018868,4.047074235713487,23,WPA2,1,9,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; Weak_Signal; 
00:5F:67:F6:E5:A4,ACT103620300345,286,1421123,4986.39649122807,36308.60130258377,42.0,458562.0,100,7.281531133590222,183,5.578947368421052,122.27888168992538,382.0,2,141,4,-83.8986013986014,7.594101922015726,29,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
FC:7A:58:22:70:7A,JioFiber4g,93,1343317,14601.271739130434,72310.74852027677,63.0,497177.0,100,4.952359616836418,55,18.66304347826087,477.2874425281176,1560.0,2,48,4,-83.6774193548387,5.716416653362376,23,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
FC:7A:58:0F:4C:5A,Priyanka_4G,9,1245505,155688.125,436226.9156094394,96.0,1235288.0,100,2.8019279929451106,6,17.625,18.141802556526734,42.0,0,5,3,-91.22222222222223,1.9860625479688307,7,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
4E:22:54:0C:D7:86,,9,946234,118279.25,329021.505018289,198.0,932547.0,100,2.781734793004752,8,-410.125,1213.1476694356475,64.0,1,4,2,-91.88888888888889,1.1666666666666665,3,WEP,0,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
50:2B:73:81:AE:21,DJNet,92,1258329,13827.791208791208,71290.0022126395,83.0,539580.0,100,5.1555596357399684,65,2.5714285714285716,208.88748395339766,1249.0,2,50,4,-84.81521739130434,5.887086534467589,29,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
FE:7A:58:12:70:7A,,94,1343064,14441.548387096775,71410.33342081585,21.0,497437.0,100,4.9447837241382455,60,18.419354838709676,471.43597293571065,1564.0,2,53,5,-83.87234042553192,5.989657829552736,24,WEP,0,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
B0:19:21:93:04:97,kokila-internet,75,1489063,20122.472972972973,95952.86919596315,43.0,672678.0,100,4.768443188870053,53,-25.18918918918919,561.1417586547832,1968.0,2,31,3,-85.0,6.561558812816818,28,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
B4:A7:C6:F4:4E:D4,MY HOME_4G,192,1430928,7491.7696335078535,42316.678145039485,53.0,448487.0,100,5.648422229926099,118,11.984293193717278,175.05435175335478,453.0,2,103,4,-83.83854166666667,8.293691159271319,36,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
AA:29:48:43:F7:C7,,46,1229412,27320.266666666666,103444.29687043255,54.0,552831.0,100,3.7863575099308275,32,-2.066666666666667,664.2186592325809,1423.0,1,29,5,-81.1086956521739,7.4213753168939585,30,WEP,0,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
AA:29:48:53:F7:C7,,45,1229413,27941.204545454544,103320.42919843049,43.0,546262.0,100,3.6977800662334297,31,-2.1136363636363638,666.3403074939415,1423.0,2,25,4,-81.86666666666666,7.053690201202875,28,WEP,0,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
8C:A3:99:A1:A7:AD,Prakash 2 G,364,1434076,3950.6225895316807,28190.450196570906,52.0,435700.0,100,7.135698121135128,316,8.393939393939394,153.62047539441207,1093.0,2,165,3,-80.03846153846153,8.094732079184483,37,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
98:9D:B2:7F:67:18,Pousses Dor_2.4G,29,1189503,42482.25,218412.47541591016,62.0,1156897.0,100,5.141264302403213,17,-19.214285714285715,160.4826879189563,61.0,1,14,4,-90.06896551724138,2.9146310043684114,12,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
D8:0D:17:B6:18:13,GHOST,39,1248698,32860.47368421053,114354.53224257535,103.0,555243.0,100,3.480002550725334,32,-2.5,337.86377792304467,1327.0,2,23,4,-83.82051282051282,8.210621474240082,30,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
D8:44:89:1E:11:AD,stupidshanG,22,1228882,58518.19047619047,139925.66899987258,54.0,471386.0,100,2.3911482542238476,19,-95.38095238095238,780.4237615674241,1064.0,2,15,3,-84.77272727272727,8.917248231226719,27,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
78:20:51:D6:39:56,Airtel_ragh_4432_EXT,27,614756,23644.46153846154,78969.9114033849,111.0,328170.0,100,3.3398904547514303,24,-69.57692307692308,326.2341702614149,72.0,2,6,3,-91.14814814814815,3.62367963968314,13,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
30:BD:13:07:F9:86,Airtel_Golden Sprouts,24,1183715,51465.86956521739,239029.2629782738,53.0,1147921.0,100,4.644422896046325,13,-31.565217391304348,228.51732102382337,95.0,1,12,3,-91.5,3.1207579904219758,15,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
54:AF:97:24:1F:03,ACT103650185889,125,1495871,12063.475806451614,74301.19837432771,51.0,672405.0,100,6.159186586044449,77,0.6451612903225806,637.3181384922237,3718.0,2,72,4,-80.6,7.4455009147113635,32,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
E6:D3:62:19:9F:8A,MGWiFi_Guest,51,1512458,30249.16,102062.61782494118,75.0,548828.0,100,3.3740645301081784,42,32.18,306.9614540715402,1574.0,2,38,5,-84.3921568627451,7.563275563861333,26,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
56:AF:97:21:1F:03,ACT103650185889_5g,112,1498985,13504.36936936937,78341.20365577143,44.0,672396.0,100,5.801174531530801,80,1.2612612612612613,675.8369318073394,3786.0,2,72,4,-81.14285714285714,7.576465627377413,33,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Seq_Gaps; 
42:F5:20:1C:1F:C6,WiZConfig_cae5,30,224588,7744.413793103448,35395.36534987641,33.0,191600.0,100,4.570438291511003,19,-65.41379310344827,414.88729254731504,62.0,1,15,3,-87.53333333333333,5.72190788855059,19,Open,0,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
42:24:81:B0:1F:10,Redmi 11 Prime 5G,23,84493,3840.590909090909,10174.444726437998,43.0,48661.0,100,2.6491873163854267,12,-148.63636363636363,775.540705109271,63.0,1,9,3,-93.52173913043478,1.4418915990459233,6,WPA2,1,8,High_Jitter; Missed_Beacons; Channel_Hopping; Weak_Signal; 
9A:BA:5F:41:AE:D8,,7,897382,149563.66666666666,242087.86811458904,50.0,568980.0,100,1.618627528385707,4,95.33333333333333,773.4079561697479,1460.0,1,3,2,-91.0,2.581988897471611,7,WEP,0,7,High_Jitter; Channel_Hopping; Seq_Gaps; Weak_Signal; 
5C:62:8B:1C:20:3A,J2G_EXT,7,939991,156665.16666666666,175005.5834085492,123.0,357360.0,100,1.1170676106947757,5,283.8333333333333,1230.6743544360816,2739.0,2,4,2,-92.28571428571429,3.093772546815388,9,WPA2,1,7,High_Jitter; Channel_Hopping; Seq_Gaps; Weak_Signal; 
9C:A2:F4:D7:D2:5B,ESPP2026,6,1033830,206766.0,282966.3028065356,105.0,519953.0,100,1.3685340085176823,2,-43.6,325.49777264982936,336.0,1,3,2,-95.16666666666667,0.752772652709081,2,WPA2,1,7,High_Jitter; Channel_Hopping; Seq_Gaps; Weak_Signal; 
4C:AE:1C:2B:DB:7E,Venkat_1floor,4,338394,112798.0,194731.8742707521,365.0,337655.0,100,1.7263770126157,3,-260.6666666666667,454.952012121425,2.0,1,3,2,-94.0,0.816496580927726,2,WPA2,1,7,High_Jitter; Channel_Hopping; Weak_Signal; Few_Beacons; 
40:48:6E:96:40:7A,Airtel_Yuvi_44,6,1147543,229508.6,309625.6379982123,106.0,624067.0,100,1.3490807664587001,3,552.8,757.039430941348,1752.0,0,3,2,-93.83333333333333,0.752772652709081,2,WPA2,1,7,High_Jitter; Channel_Hopping; Seq_Gaps; Weak_Signal; 
E8:22:B8:58:E0:2A,Mivik,12,608557,55323.36363636364,119235.29755342813,106.0,338445.0,100,2.1552430964790505,10,180.27272727272728,791.0180896678775,2469.0,1,2,2,-92.16666666666667,2.167249338901663,8,WPA2,1,6,High_Jitter; Missed_Beacons; Seq_Gaps; Weak_Signal; 
