Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
1742,Satz,10:27:F5:5C:C6:A3,-74,2,258,100,805579366814,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
1819,.,9C:A2:F4:D7:B6:BF,-95,3,1471,100,702082867598,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,40,2,1,9C:A2:F4,Unknown,0,376
1861,Athidi 1,9E:A2:F4:17:B6:BF,-94,3,1472,100,702082867616,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,3,,1,40,2,1,9E:A2:F4,Unknown,0,286
1893,,9E:A2:F4:27:B6:BF,-94,3,1473,100,702082867602,WEP,1,0,1,0,,0,0,,0,0,0,0,9E:A2:F4,Unknown,0,334
1935,Satz,10:27:F5:5C:C6:A3,-71,3,259,100,805579469203,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2004,Satz,10:27:F5:5C:C6:A3,-56,3,260,100,805579572068,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2152,Satz,10:27:F5:5C:C6:A3,-55,4,262,100,805579776414,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2254,Satz,10:27:F5:5C:C6:A3,-50,4,263,100,805579878816,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2351,JioFiber-satz,C0:68:CC:6E:74:72,-81,5,569,100,13424435627,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2453,JioFiber-satz,C0:68:CC:6E:74:72,-82,5,570,100,13424538017,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2556,JioFiber-satz,C0:68:CC:6E:74:72,-84,6,571,100,13424640409,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2642,JioFiber-CqkfQ,9A:78:C9:62:4F:27,-94,6,353,100,805576192391,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,9A:78:C9,Unknown,0,234
2695,JioFiber-satz,C0:68:CC:6E:74:72,-79,6,572,100,13424742815,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2760,JioFiber-satz,C0:68:CC:6E:74:72,-92,6,573,100,13424845209,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2863,JioFiber-satz,C0:68:CC:6E:74:72,-78,7,574,100,13424947606,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2916,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-65,7,3593,100,4419174784,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
2965,JioFiber-satz,C0:68:CC:6E:74:72,-78,7,575,100,13425049992,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
3018,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-68,7,3594,100,4419277184,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
4043,Cctv,50:2B:73:FD:4F:28,-92,11,1035,100,503772672382,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
4559,JVACT,F0:A7:31:F8:68:16,-94,1,1152,100,2820301132,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
4611,JVACT5G,F2:A7:31:F9:68:16,-94,1,1153,100,2820303221,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F2:A7:31,Unknown,0,237
4814,Satz,10:27:F5:5C:C6:A3,-63,2,290,100,805582438812,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
4917,Satz,10:27:F5:5C:C6:A3,-59,2,291,100,805582541197,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5019,Satz,10:27:F5:5C:C6:A3,-66,2,292,100,805582643615,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5062,Palani,9C:A2:F4:E8:A2:D4,-93,2,2364,100,804707430945,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,2,,1,40,2,1,9C:A2:F4,Unknown,0,236
5131,Satz,10:27:F5:5C:C6:A3,-61,3,293,100,805582746015,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5224,Satz,10:27:F5:5C:C6:A3,-68,3,294,100,805582848408,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5326,Satz,10:27:F5:5C:C6:A3,-68,4,295,100,805582950817,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5531,Satz,10:27:F5:5C:C6:A3,-70,4,297,100,805583155612,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5628,JioFiber-satz,C0:68:CC:6E:74:72,-72,5,603,100,13427712418,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
5730,JioFiber-satz,C0:68:CC:6E:74:72,-74,5,604,100,13427814805,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
5833,JioFiber-satz,C0:68:CC:6E:74:72,-71,6,605,100,13427917200,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
5935,JioFiber-satz,C0:68:CC:6E:74:72,-70,6,606,100,13428019607,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
6037,JioFiber-satz,C0:68:CC:6E:74:72,-70,6,607,100,13428122012,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
6180,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-64,7,3625,100,4422451584,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
6242,JioFiber-satz,C0:68:CC:6E:74:72,-71,7,609,100,13428326803,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
6295,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-63,7,3626,100,4422554374,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
8041,JVACT,F0:A7:31:F8:68:16,-95,1,1220,100,2823782767,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
8193,Satz,10:27:F5:5C:C6:A3,-70,2,324,100,805585817991,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
8296,Satz,10:27:F5:5C:C6:A3,-73,2,325,100,805585920393,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
8398,Satz,10:27:F5:5C:C6:A3,-68,3,326,100,805586022806,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
8501,Satz,10:27:F5:5C:C6:A3,-69,3,327,100,805586125206,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
8603,Satz,10:27:F5:5C:C6:A3,-68,4,328,100,805586227591,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
9007,JioFiber-satz,C0:68:CC:6E:74:72,-75,5,636,100,13431091602,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
9110,JioFiber-satz,C0:68:CC:6E:74:72,-76,6,637,100,13431194024,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
9212,JioFiber-satz,C0:68:CC:6E:74:72,-73,6,638,100,13431296411,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
9314,JioFiber-satz,C0:68:CC:6E:74:72,-76,7,639,100,13431398811,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
9367,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-56,7,3656,100,4425625984,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
9457,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-56,7,3657,100,4425728384,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
10344,Satz,10:27:F5:5C:C6:A3,-95,11,345,100,805587968391,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
10446,Satz,10:27:F5:5C:C6:A3,-94,11,346,100,805588070801,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
11067,JioFiber_24GH_KRR,A8:88:1F:20:7B:61,-94,1,3054,100,286266982822,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,A8:88:1F,Unknown,0,290
11113,JVACT,F0:A7:31:F8:68:16,-92,1,1280,100,2826854828,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
