Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
2963,ACTFIBERNET,B0:A7:B9:AF:A6:1B,-71,7,2865,100,803841024417,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,7,,1,40,2,1,B0:A7:B9,Unknown,0,261
3066,ACTFIBERNET,B0:A7:B9:AF:A6:1B,-71,7,2866,100,803841126792,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,7,,1,40,2,1,B0:A7:B9,Unknown,0,261
3168,ACTFIBERNET,B0:A7:B9:AF:A6:1B,-71,7,2867,100,803841229217,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,7,,1,40,2,1,B0:A7:B9,Unknown,0,261
3266,Karthik,34:60:F9:A8:56:6D,-82,8,557,100,803873587606,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,8,,1,40,2,1,34:60:F9,Unknown,0,382
3287,,36:60:F9:A8:56:6D,-82,8,558,100,803873587603,WEP,1,0,1,0,,0,0,,0,0,0,0,36:60:F9,Unknown,0,334
3368,Karthik,34:60:F9:A8:56:6D,-84,8,561,100,803873690002,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,8,,1,40,2,1,34:60:F9,Unknown,0,382
3410,ACTFIBERNET,B0:A7:B9:AF:A6:1B,-75,8,2869,100,803841434006,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,7,,1,40,2,1,B0:A7:B9,Unknown,0,261
3474,Karthik,34:60:F9:A8:56:6D,-83,9,565,100,803873792418,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,8,,1,40,2,1,34:60:F9,Unknown,0,382
3496,,36:60:F9:A8:56:6D,-87,9,566,100,803873792395,WEP,1,0,1,0,,0,0,,0,0,0,0,36:60:F9,Unknown,0,334
3548,Jyosthna,50:2B:73:99:B3:C1,-92,9,3029,100,71235072029,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,9,,1,20,2,1,50:2B:73,Unknown,0,228
3600,Home Sweet,9C:A2:F4:AD:D2:8F,-89,9,2880,100,189099725130,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9C:A2:F4,Unknown,0,240
3642,Home Sweet_5G,9E:A2:F4:A9:D2:8F,-85,9,2881,100,189099727259,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,10,,1,40,2,1,9E:A2:F4,Unknown,0,243
3674,,36:60:F9:A8:56:6D,-85,9,570,100,803873894801,WEP,1,0,1,0,,0,0,,0,0,0,0,36:60:F9,Unknown,0,334
3696,,36:60:F9:A8:56:6D,-84,9,574,100,803873997225,WEP,1,0,1,0,,0,0,,0,0,0,0,36:60:F9,Unknown,0,334
