Timestamp_ms,SSID,BSSID,RSSI,Channel,SequenceNumber,BeaconInterval,BeaconTimestamp,Encryption,Privacy,ShortPreamble,ShortSlot,RateCount,SupportedRates,ExtRateCount,DSChannel,CountryCode,HasHT,HTChannelWidth,HTStreams,HasExtCap,OUI,VendorName,IsHidden,FrameLength
1715,Satz,10:27:F5:5C:C6:A3,-75,2,2089,100,803444326790,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
1763,JVACT,F0:A7:31:F8:68:16,-83,2,368,100,682496321,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
1806,JVACT5G,F2:A7:31:F9:68:16,-88,2,369,100,682498411,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F2:A7:31,Unknown,0,237
1858,Satz,10:27:F5:5C:C6:A3,-74,2,2091,100,803444429221,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
1911,JVACT,F0:A7:31:F8:68:16,-82,2,370,100,682598722,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
1971,VKS_4G_1,60:A4:B7:D0:B1:75,-89,2,3735,100,38129971518,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,60:A4:B7,Unknown,0,238
2022,Satz,10:27:F5:5C:C6:A3,-70,3,2094,100,803444634058,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2124,Satz,10:27:F5:5C:C6:A3,-69,3,2095,100,803444736390,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
2734,JioFiber-satz,C0:68:CC:6E:74:72,-82,6,2861,100,11289805211,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
2781,suresh4G,CA:78:C9:FE:B1:3C,-93,6,2866,100,9721141647,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,CA:78:C9,Unknown,0,228
2852,VKS_4G,FC:7A:58:1B:1B:9A,-95,6,2718,100,543989248412,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,FC:7A:58,Unknown,0,356
2905,babu_5G,CA:78:C9:FE:B1:30,-94,6,2867,100,9721241997,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,CA:78:C9,Unknown,0,227
2947,suresh4G,CA:78:C9:FE:B1:3C,-94,6,2868,100,9721244034,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,CA:78:C9,Unknown,0,228
3011,VKS_4G,FC:7A:58:1B:1B:9A,-93,6,2720,100,543989350826,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,FC:7A:58,Unknown,0,356
3053,JioFiber-satz,C0:68:CC:6E:74:72,-86,7,2864,100,11290112417,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
3117,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-82,7,2531,100,2284339584,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
3169,JioFiber-satz,C0:68:CC:6E:74:72,-88,7,2865,100,11290214824,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
3212,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-80,7,2533,100,2284441984,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
4028,Cctv,50:2B:73:FD:4F:28,-92,11,557,100,501637632391,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
4070,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-93,11,3500,100,2996838803,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
4132,Cctv,50:2B:73:FD:4F:28,-94,11,558,100,501637734800,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
4175,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-93,11,3501,100,2996941197,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
4734,JVACT,F0:A7:31:F8:68:16,-84,1,426,100,685466503,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
4776,JVACT5G,F2:A7:31:F9:68:16,-83,1,427,100,685468592,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F2:A7:31,Unknown,0,237
4829,JioFiber_24GH_KRR,A8:88:1F:20:7B:61,-94,1,1103,100,284125696412,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,A8:88:1F,Unknown,0,290
4893,JVACT,F0:A7:31:F8:68:16,-81,1,428,100,685568354,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
4935,JVACT5G,F2:A7:31:F9:68:16,-82,1,429,100,685570443,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F2:A7:31,Unknown,0,237
4988,JVACT,F0:A7:31:F8:68:16,-83,1,430,100,685670752,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
5040,JVACT,F0:A7:31:F8:68:16,-82,2,432,100,685773152,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
5094,Satz,10:27:F5:5C:C6:A3,-81,2,2125,100,803447705995,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5147,JVACT,F0:A7:31:F8:68:16,-84,2,434,100,685875549,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
5200,JVACT5G,F2:A7:31:F9:68:16,-85,2,435,100,685877639,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F2:A7:31,Unknown,0,237
5299,Satz,10:27:F5:5C:C6:A3,-82,3,2127,100,803447910806,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5401,Satz,10:27:F5:5C:C6:A3,-84,3,2128,100,803448013191,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5606,Satz,10:27:F5:5C:C6:A3,-86,4,2130,100,803448217991,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,3,,1,40,2,1,10:27:F5,Unknown,0,254
5758,Airtel__dontuse,30:BD:13:27:87:96,-91,5,2282,100,180349542430,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
5962,Airtel__dontuse,30:BD:13:27:87:96,-92,6,2284,100,180349747222,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
6015,VKS_4G,FC:7A:58:1B:1B:9A,-95,6,2780,100,543992422819,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,FC:7A:58,Unknown,0,356
6068,JioFiber-satz,C0:68:CC:6E:74:72,-91,6,2899,100,11293082004,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
6121,Airtel__dontuse,30:BD:13:27:87:96,-86,6,2285,100,180349849648,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
6174,JioFiber-CqkfQ,9A:78:C9:62:4F:27,-90,6,2989,100,803444634011,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,9A:78:C9,Unknown,0,234
6227,Airtel__dontuse,30:BD:13:27:87:96,-84,6,2286,100,180349952048,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
6280,VKS_4G,FC:7A:58:1B:1B:9A,-95,6,2784,100,543992627615,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,FC:7A:58,Unknown,0,356
6333,JioFiber-CqkfQ,9A:78:C9:62:4F:27,-89,6,2990,100,803444736400,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,9A:78:C9,Unknown,0,234
6375,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-84,7,2593,100,2287513984,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
6426,Airtel__dontuse,30:BD:13:27:87:96,-87,7,2287,100,180350054439,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
6478,JioFiber-CqkfQ,9A:78:C9:62:4F:27,-91,7,2991,100,803444838795,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,6,IN,1,40,2,1,9A:78:C9,Unknown,0,234
6532,JioFiber-satz,C0:68:CC:6E:74:72,-85,7,2903,100,11293491597,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,6,IN,1,20,2,1,C0:68:CC,Unknown,0,245
6574,DIRECT-dQ-BRAVIA,B2:10:41:BD:D6:51,-86,7,2597,100,2287718784,WPA2,1,1,1,8,6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,0,7,,1,20,2,0,B2:10:41,Unknown,0,263
6627,Airtel__dontuse,30:BD:13:27:87:96,-84,7,2289,100,180350259230,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,6,IN,1,20,2,1,30:BD:13,Unknown,0,311
6998,Cctv,50:2B:73:FD:4F:28,-92,10,586,100,501640602009,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
7215,JVACT1,A4:2B:B0:01:A6:3A,-90,11,2545,100,803472385200,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,0,A4:2B:B0,Unknown,0,260
7305,Cctv,50:2B:73:FD:4F:28,-90,11,589,100,501640909200,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
7347,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-96,11,3541,100,3000115623,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
7400,JVACT1,A4:2B:B0:01:A6:3A,-94,11,2546,100,803472487627,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,0,A4:2B:B0,Unknown,0,260
7464,Cctv,50:2B:73:FD:4F:28,-90,11,590,100,501641011582,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
7506,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-92,11,3542,100,3000218018,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
7558,JVACT1,A4:2B:B0:01:A6:3A,-96,11,2547,100,803472590022,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,0,A4:2B:B0,Unknown,0,260
7602,SanD-JioFiber,BA:A9:15:4E:AF:EE,-91,12,1384,100,802567680411,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,11,IN,1,40,2,1,BA:A9:15,Unknown,0,233
7654,Cctv,50:2B:73:FD:4F:28,-91,12,591,100,501641113991,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;6.0;9.0;12.0;18.0;24.0;36.0;48.0;54.0,4,11,,1,40,2,1,50:2B:73,Unknown,0,276
7714,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-92,12,3543,100,3000320631,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
7767,JVACT1,A4:2B:B0:01:A6:3A,-92,12,2548,100,803472692635,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,40,2,0,A4:2B:B0,Unknown,0,260
7810,SanD-JioFiber_EXT,8C:90:2D:3B:B6:5A,-94,12,3544,100,3000422819,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,11,,1,20,2,0,8C:90:2D,Unknown,0,223
7852,SanD-JioFiber,BA:A9:15:4E:AF:EE,-93,12,1386,100,802567885203,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;18.0;24.0;36.0;54.0;6.0;9.0;12.0;48.0,4,11,IN,1,40,2,1,BA:A9:15,Unknown,0,233
7964,VKS_4G_1,60:A4:B7:D0:B1:75,-89,1,3794,100,38136013116,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,60:A4:B7,Unknown,0,238
8047,JioFiber_24GH_KRR,A8:88:1F:20:7B:61,-90,1,1135,100,284128974286,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,IN,1,20,2,1,A8:88:1F,Unknown,0,290
8113,JVACT,F0:A7:31:F8:68:16,-88,1,492,100,688846347,WPA2,1,0,1,8,1.0;2.0;5.5;11.0;9.0;18.0;36.0;54.0;6.0;12.0;24.0;48.0,4,1,,1,40,2,1,F0:A7:31,Unknown,0,235
